,FileName,CreateDate,Duration,SourceImageWidth,SourceImageHeight,CameraModelName,ShutterSpeed,FNumber,ISO,ClosestDatalog
0,P1060371.MP4,2022:09:14 21:22:58.378,0:02:21,1920,1080,DC-FZ80,1/60,8.0,100,14_Sep_2022_21_27_29.txt
1,P1060372.MP4,2022:09:14 21:25:49.627,0:02:20,1920,1080,DC-FZ80,1/60,8.0,100,14_Sep_2022_21_27_29.txt
2,P1060373.MP4,2022:09:14 21:29:06.875,0:02:18,1920,1080,DC-FZ80,1/60,8.0,100,14_Sep_2022_21_30_19.txt
3,P1060374.MP4,2022:09:14 21:33:32.297,0:02:03,1920,1080,DC-FZ80,1/60,8.0,100,14_Sep_2022_21_33_41.txt
4,P1060375.MP4,2022:09:14 21:36:11.843,0:02:21,1920,1080,DC-FZ80,1/40,5.6,100,14_Sep_2022_21_37_51.txt
5,P1060376.MP4,2022:09:14 21:40:28.316,1.00 s,1920,1080,DC-FZ80,1/40,5.6,100,14_Sep_2022_21_40_57.txt
6,P1060378.MP4,2022:09:14 21:41:43.339,0:02:32,3840,2160,DC-FZ80,1/60,5.6,100,14_Sep_2022_21_46_25.txt
7,P1060379.MP4,2022:09:14 21:47:42.333,0:02:16,3840,2160,DC-FZ80,1/60,5.6,100,14_Sep_2022_21_52_13.txt
8,P1060380.MP4,2022:09:14 21:50:12.128,0:02:15,3840,2160,DC-FZ80,1/60,5.6,100,14_Sep_2022_21_52_13.txt
